year;weekofyear;total_cases;precipitation_amt_mm;reanalysis_air_temp_k;reanalysis_avg_temp_k;reanalysis_dew_point_temp_k;reanalysis_max_air_temp_k;reanalysis_min_air_temp_k;reanalysis_precip_amt_kg_per_m2;reanalysis_relative_humidity_percent;reanalysis_sat_precip_amt_mm;reanalysis_specific_humidity_g_per_kg;reanalysis_tdtr_k;station_avg_temp_c;station_diur_temp_rng_c;station_max_temp_c;station_min_temp_c;station_precip_mm
1990;18;4;12.42;297.5728571;297.7428571;292.4142857;299.8;295.9;32;73.36571429;12.42;14.01285714;2.628571429;25.44285714;6.9;29.4;20;16
1990;19;5;22.82;298.2114286;298.4428571;293.9514286;300.9;296.4;17.94;77.36857143;22.82;15.37285714;2.371428571;26.71428571;6.371428571;31.7;22.2;8.6
1990;20;4;34.54;298.7814286;298.8785714;295.4342857;300.5;297.3;26.1;82.05285714;34.54;16.84857143;2.3;26.71428571;6.485714286;32.2;22.8;41.4
1990;21;3;15.36;298.9871429;299.2285714;295.31;301.4;297;13.9;80.33714286;15.36;16.67285714;2.428571429;27.47142857;6.771428571;33.3;23.3;4
1990;22;6;7.52;299.5185714;299.6642857;295.8214286;301.9;297.5;12.2;80.46;7.52;17.21;3.014285714;28.94285714;9.371428571;35;23.9;5.8
1990;23;2;9.58;299.63;299.7642857;295.8514286;302.4;298.1;26.49;79.89142857;9.58;17.21285714;2.1;28.11428571;6.942857143;34.4;23.9;39.1
1990;24;4;3.48;299.2071429;299.2214286;295.8657143;301.3;297.7;38.6;82;3.48;17.23428571;2.042857143;27.41428571;6.771428571;32.2;23.3;29.7
1990;25;5;151.12;299.5914286;299.5285714;296.5314286;300.6;298.4;30;83.37571429;151.12;17.97714286;1.571428571;28.37142857;7.685714286;33.9;22.8;21.1
1990;26;10;19.32;299.5785714;299.5571429;296.3785714;302.1;297.7;37.51;82.76857143;19.32;17.79;1.885714286;28.32857143;7.385714286;33.9;22.8;21.1
1990;27;6;14.41;300.1542857;300.2785714;296.6514286;302.3;298.7;28.4;81.28142857;14.41;18.07142857;2.014285714;28.32857143;6.514285714;33.9;24.4;1.1
1990;28;8;22.27;299.5128571;299.5928571;296.0414286;301.8;298;43.72;81.46714286;22.27;17.41857143;2.157142857;27.55714286;7.157142857;31.7;21.7;63.7
1990;29;2;59.17;299.6671429;299.75;296.3342857;302;297.3;40.9;82.14428571;59.17;17.73714286;2.414285714;28.12857143;6.9;32.8;23.9;12.2
1990;30;6;16.48;299.5585714;299.6357143;295.96;301.8;297.1;42.53;80.74285714;16.48;17.34142857;2.071428571;28.11428571;6.357142857;31.7;22.8;32.6
1990;31;17;32.66;299.8628571;299.95;296.1728571;303;298.3;34.6;80.58428571;32.66;17.59428571;2.585714286;28.24285714;8.085714286;34.4;22.8;37.6
1990;32;23;28.8;300.3914286;300.4785714;296.5328571;302.5;298.8;20;79.65;28.8;17.95;2.328571429;28.2;7.557142857;33.3;23.3;11.4
1990;33;13;90.75;299.9585714;299.9571429;297.0357143;302.6;298.5;101.9;84.17857143;90.75;18.51571429;1.857142857;28.04285714;6.685714286;32.8;22.8;44.7
1990;34;21;32.4;300.3328571;300.4142857;296.7285714;302.5;298.1;25.9;80.94714286;32.4;18.17428571;2.485714286;28.34285714;7.014285714;33.3;23.3;5.4
1990;35;28;40.94;300.1185714;300.2214286;297.0171429;302.2;298.7;39.8;83.34857143;40.94;18.51571429;1.9;28.65714286;6.528571429;32.2;24.4;13.7
1990;36;24;28.86;300.53;300.6357143;296.1171429;303.8;298;30.4;77.17285714;28.86;17.56;3.471428571;28.32857143;7.614285714;32.8;23.3;14.2
1990;37;20;64.56;300.6742857;300.7928571;297.1928571;302.9;299;24.18;81.55142857;64.56;18.77714286;2.9;28.68571429;8.057142857;33.9;24.4;25.9
1990;38;40;143.73;299.8571429;299.9;296.4314286;301.7;298.7;36.6;81.63714286;143.73;17.89285714;1.742857143;28.24285714;8.114285714;32.8;23.9;3.3
1990;39;27;51.39;300.4271429;300.6;296.0285714;302.4;299.1;16.4;77.04857143;51.39;17.46857143;2.257142857;28.34285714;7.728571429;32.8;24.4;15.8
1990;40;42;31.18;300.7757143;300.85;296.6642857;303.3;299.1;36.1;78.52;31.18;18.18;2.9;28.77142857;8.028571429;33.3;23.9;11.7
1990;41;33;51.42;299.8571429;299.9428571;296.9285714;301.8;298.1;132.4;84.11;51.42;18.51285714;2.571428571;28.62857143;7.314285714;33.3;24.4;57.7
1990;42;43;143.55;299.1957143;299.3071429;296.5442857;301.5;297.5;279.6;85.62142857;143.55;18.11571429;1.871428571;27.62857143;7.4;32.8;23.3;61.8
1990;43;37;127.03;298.9028571;299.0428571;296.2571429;300.9;297.2;94.52;85.50285714;127.03;17.75;1.8;26.77142857;7.628571429;32.2;21.7;91.5
1990;44;57;101.35;299.7271429;299.7785714;296.5342857;301.4;298.5;22.26;82.78714286;101.35;18.03428571;1.785714286;27.97142857;8.642857143;33.3;22.8;6.3
1990;45;71;20.46;299.9728571;300.0357143;296.5642857;302.2;298.5;14.4;81.71571429;20.46;18.07428571;2.385714286;28.47142857;8.428571429;33.3;23.9;6.6
1990;46;44;20;300.35;300.5;295.6871429;302.3;298.8;7.1;75.72857143;20;17.08571429;2.2;27.54285714;8.6;32.8;22.2;38.9
1990;47;56;20.04;299.5114286;299.6357143;295.3757143;301.6;297;36.7;78.15142857;20.04;16.75285714;2.528571429;26.8;7.414285714;31.7;22.2;9.6
1990;48;53;33.61;298.2385714;298.2642857;294.8114286;300.2;296.5;44.3;81.38571429;33.61;16.20857143;1.985714286;26.2;7.128571429;31.1;20.6;26.7
1990;49;52;9.96;298.5428571;298.6857143;294.7828571;300.8;296.7;71.8;79.90857143;9.96;16.16142857;2.057142857;25.98571429;5.542857143;29.4;22.2;69
1990;50;47;0;298.2028571;298.2785714;292.0042857;300.6;296.1;4.1;68.72285714;0;13.61571429;2.985714286;24.68571429;7.771428571;29.4;19.4;2.8
1990;51;26;52.45;298.2971429;298.3785714;294.5585714;300.9;296;32.31;80.08285714;52.45;15.95428571;2.871428571;25.71428571;6.585714286;30.6;21.1;19.8
1990;52;27;0;298.0385714;298.0857143;292.1057143;299.8;295.3;5.46;69.68142857;0;13.68285714;2.285714286;25.15714286;5.842857143;28.9;21.1;20.9
1991;1;21;0;297.06;297.1357143;291.9071429;299;293.9;4.8;72.93857143;0;13.51142857;2.528571429;24.38571429;7.457142857;29.4;18.9;5.3
1991;2;21;15.85;297.6742857;297.8285714;293.2828571;299.3;295.8;26.33;76.62857143;15.85;14.67142857;1.885714286;24.91428571;6.314285714;28.3;21.1;31.7
1991;3;26;0;297.4228571;297.6571429;293.4128571;299.3;296.1;27.4;78.5;0;14.79857143;2;25.24285714;6.571428571;29.4;21.1;16.5
1991;4;34;0;297.8842857;298.15;292.3828571;300.3;296;0.7;71.59714286;0;13.87857143;2.557142857;24.71428571;7.771428571;29.4;18.3;6.8
1991;5;37;0;298.0442857;298.2285714;292.5728571;300.1;295;5.7;71.78428571;0;14.04428571;2.771428571;24.82857143;8.157142857;30;18.9;5.9
1991;6;17;0;297.74;297.9285714;293.15;299.7;295;19.69;75.79428571;0;14.54142857;2.428571429;25.05714286;6.885714286;30;20.6;7.3
1991;7;19;18.05;296.8842857;297.1142857;292.9728571;300.2;294.1;21.4;78.89571429;18.05;14.46;3.2;25.14285714;8.871428571;32.2;18.9;5.6
1991;8;25;0;297.4142857;297.6142857;293.6314286;300.1;295.8;26.2;79.74;0;15.03571429;2.571428571;25.84285714;8.471428571;32.2;20;17.8
1991;9;18;31.79;297.5057143;297.8285714;293.4071429;299.8;295.8;23.8;77.97714286;31.79;14.79428571;2.114285714;25.25714286;7.2;30.6;20;30.7
1991;10;21;0;297.7771429;298.0785714;293.5314286;300.3;296.4;8.3;77.31571429;0;14.92;2.242857143;26.01428571;8.314285714;31.1;20.6;10.9
1991;11;17;0;297.4314286;297.6357143;293.3357143;300.1;295.7;13.37;78.13857143;0;14.78714286;2.728571429;25.92857143;8.971428571;31.7;20.6;3.6
1991;12;17;0;297.4071429;297.6142857;293.2542857;300.4;295.4;11.1;77.88285714;0;14.74571429;2.542857143;26.08571429;6.971428571;32.2;21.1;5.7
1991;13;16;0;297.47;297.6928571;293.74;301;295.7;21.26;80.00142857;0;15.14857143;2.757142857;26.05714286;6.585714286;32.2;22.2;26.9
1991;14;16;12.92;297.0642857;297.1857143;292.48;299.4;295.4;20.9;75.66285714;12.92;13.99142857;2.285714286;25.24285714;6.814285714;28.9;20.6;4.1
1991;15;15;6;297.3728571;297.6571429;293.6157143;299.2;295.9;19.78;79.62857143;6;14.99285714;2.628571429;25.3;6.514285714;28.9;21.1;18.8
1991;16;23;44.57;297.2842857;297.3928571;292.17;298.9;296;21.9;73.35142857;44.57;13.73285714;2.014285714;25.51428571;6.271428571;29.4;21.1;19.4
1991;17;16;32.72;298.0742857;298.2357143;294.0285714;299.6;296.7;19.7;78.44714286;32.72;15.46142857;2.3;26.52857143;8.014285714;32.8;21.7;3.5
1991;18;17;0;298.8314286;299.0714286;294.97;301;297.1;8.38;79.36;0;16.31428571;2.8;27.31428571;7.714285714;32.2;22.8;2.8
1991;19;12;35.38;298.6385714;298.7214286;294.8128571;300.9;297.2;20.6;79.54142857;35.38;16.18571429;2.414285714;26.92857143;6.928571429;31.7;22.8;40.2
1991;20;17;4.16;298.3257143;298.4071429;294.6185714;300.1;296.6;35.37;80.06714286;4.16;15.97428571;2.5;26.52857143;6.585714286;30.6;22.8;32.8
